msr_id,city,state
28702554355988,FOZ DO IGUACU,PR
24302855659668,SOROCABA,SP
28705330445844,JABOATAO DOS GUARARAPES,PE
28711442153108,SAO PAULO,SP
25746176005012,SANTA MARIA,RS
422726320791,SALVADOR,BA
377578770872,RECIFE,PE
403616669191,RIBEIRAO PRETO,SP
422836416971,ACOPIARA,CE
6332375009300,SIRINHAEM,PE
28714856345364,SALVADOR,BA
10078188826132,ITAI,SP
24504182936980,NITEROI,RJ
406750204551,SANTO ANDRE,SP
407327501991,RIO DE JANEIRO,RJ
15700949967764,RIO DE JANEIRO,RJ
11415893507732,CARAPICUIBA,SP
5161144221332,NATAL,RN
418907908812,TAUBATE,SP
25704842205716,SAO PAULO,SP
17505366560788,GUARULHOS,SP
386034679071,LEME,SP
6045449118356,CONDE,PB
416971760032,BELEM,PA
377359993711,RIO DE JANEIRO,RJ
13920901038996,MAIRIPORA,SP
24724411941780,CARIACICA,ES
18527853762196,SAO PAULO,SP
10078659529620,RIO DE JANEIRO,RJ
410742322671,CURITIBA,PR
5183774618004,NOVA IGUACU,RJ
419161809992,RIO DE JANEIRO,RJ
6665977708436,RIO DE JANEIRO,RJ
383911003051,NOVA IGUACU,RJ
15242035174164,SAO PAULO,SP
14868087722260,SAO CAETANO DO SUL,SP
377299987692,JABOATAO DOS GUARARAPES,PE
9672885129364,FORTALEZA,CE
377363680771,RIO DE JANEIRO,RJ
423086700751,IBITINGA,SP
377296936832,PARNAMIRIM,RN
420472550371,SAO PAULO,SP
420683987152,RIO DE JANEIRO,RJ
377300570652,SAO PAULO,SP
421918875132,CAMPINAS,SP
377363912171,RIO DE JANEIRO,RJ
405531891672,SAO PAULO,SP
377360075811,MACEIO,AL
412385530792,BELO HORIZONTE,MG
25017399361172,ARARANGUA,SC
377300011192,SAO PAULO,SP
406210688211,SOROCABA,SP
412528216691,FRANCA,SP
377357268171,RIO DE JANEIRO,RJ
417070310371,SALVADOR,BA
24195758027412,SAO JOSE DOS PINHAIS,PR
28175070505748,PORTO ALEGRE,RS
422651561892,LUCIANOPOLIS,SP
399106405192,CARMO DA CACHOEIRA,MG
422488771432,SAO PAULO,SP
399173305911,RIO DE JANEIRO,RJ
377293398552,RIO DE JANEIRO,RJ
412528216551,CAMPINA GRANDE,PB
20601667029908,BARUERI,SP
421773233892,SALVADOR,BA
406765680892,SAO PAULO,SP
384967156891,CABO DE SANTO AGOSTINHO,PE
6571947420948,FLORIANOPOLIS,SC
14426419907860,RECIFE,PE
377360143091,SAO PAULO,SP
20239100707732,VALENCA,RJ
378085043071,PORTO ALEGRE,RS
1900503062287,SANTO ANDRE,SP
25447622537492,RIO DE JANEIRO,RJ
418924081232,GRAVATAI,RS
