volunteer_id,status,city,state
26483,indisponivel,SAO PAULO,SP
24077,indisponivel,BRASILIA,DF
20555,indisponivel,RIO DE JANEIRO,RJ
25612,indisponivel,RIO DE JANEIRO,RJ
19619,indisponivel,CAUCAIA,CE
25864,indisponivel,SAO PAULO,SP
28052,indisponivel,VILA VELHA,ES
26976,indisponivel,VITORIA,ES
25046,indisponivel,VOLTA REDONDA,RJ
23100,indisponivel,CURITIBA,PR
23438,indisponivel,GUARUJA,SP
25304,indisponivel,SAO PAULO,SP
24679,indisponivel,RIO DE JANEIRO,RJ
26615,indisponivel,RIO DE JANEIRO,RJ
22415,indisponivel,SAO PAULO,SP
27698,indisponivel,LEME,SP
21015,indisponivel,PAULINIA,SP
23510,indisponivel,SAO JOSE DO RIO PRETO,SP
24666,indisponivel,SAO PAULO,SP
28110,indisponivel,CURITIBA,PR
19733,indisponivel,PATOS DE MINAS,MG
26202,indisponivel,SAO BERNARDO DO CAMPO,SP
19236,indisponivel,SAO PAULO,SP
21737,indisponivel,CUIABA,MT
26257,indisponivel,SUZANO,SP
24622,indisponivel,CATU,BA
15685,indisponivel,ITUTINGA,MG
27541,indisponivel,FLORIANOPOLIS,SC
17559,indisponivel,RIO DE JANEIRO,RJ
25518,indisponivel,SALVADOR,BA
16112,indisponivel,GUACUI,ES
27724,indisponivel,VILA VELHA,ES
20056,indisponivel,CURITIBA,PR
25017,indisponivel,TAUBATE,SP
25591,indisponivel,RECIFE,PE
15586,indisponivel,SAO PAULO,SP
25442,indisponivel,SAO VICENTE,SP
26924,indisponivel,FLORIANOPOLIS,SC
23496,indisponivel,BELEM,PA
25480,indisponivel,BRASILIA,DF
26706,indisponivel,SAO PAULO,SP
18225,indisponivel,FORTALEZA,CE
19069,indisponivel,RESENDE,RJ
28492,indisponivel,SAO PAULO,SP
27546,indisponivel,BRASILIA,DF
17281,indisponivel,TORRES,RS
25256,indisponivel,SAO PAULO,SP
21243,indisponivel,GOIANIA,GO
25620,indisponivel,CAXIAS DO SUL,RS
15505,indisponivel,BRASILIA,DF
26421,indisponivel,BENTO GONCALVES,RS
15558,indisponivel,SAO PAULO,SP
15574,indisponivel,LAURO DE FREITAS,BA
15567,indisponivel,OSASCO,SP
20353,indisponivel,CAXIAS DO SUL,RS
28556,indisponivel,RIO DE JANEIRO,RJ
15588,indisponivel,BELO HORIZONTE,MG
15589,indisponivel,TAUBATE,SP
15579,indisponivel,NATAL,RN
15592,indisponivel,VITORIA E CARIACICA,ES
15619,indisponivel,JOAO PESSOA,PB
15617,indisponivel,CAMPINAS,SP
15636,indisponivel,RIBEIRAO PRETO,SP
15609,indisponivel,CAMPINA GRANDE,PB
15614,indisponivel,NITEROI,RJ
15648,indisponivel,SAO PAULO,SP
15652,indisponivel,SAO JOSE DOS CAMPOS,SP
15661,indisponivel,TERESINA,PI
15644,indisponivel,SAO PAULO,SP
18603,indisponivel,BELEM,PA
16097,indisponivel,APARECIDA DE GOIANIA,GO
15686,indisponivel,RIO DE JANEIRO,RJ
15692,indisponivel,VOLTA REDONDA,RJ
15721,indisponivel,BRASILIA,DF
15717,indisponivel,SAO PAULO,SP
15700,indisponivel,SANTOS,SP
15719,indisponivel,SOBRAL,CE
15703,indisponivel,PARNAMIRIM,PE
15735,indisponivel,SALVADOR,BA
15730,indisponivel,BRASILIA,DF
15742,indisponivel,VITORIA DA CONQUISTA,BA
15726,indisponivel,FORMOSA,GO
15736,indisponivel,BRASILIA,DF
15776,indisponivel,RIO DE JANEIRO,RJ
15780,indisponivel,SAO PAULO,SP
15783,indisponivel,LIMA DUARTE,MG
15787,indisponivel,PETROPOLIS,RJ
15777,indisponivel,TABOAO DA SERRA,SP
15820,indisponivel,SAO PAULO,SP
15835,indisponivel,BRASILIA,DF
27477,indisponivel,SAO PAULO,SP
24880,indisponivel,APARECIDA,SP
25536,indisponivel,PORTO ALEGRE,RS
22679,indisponivel,SAO PAULO,SP
20237,indisponivel,CURITIBA,PR
14134,indisponivel,RIO DE JANEIRO ,RJ
15928,indisponivel,RIO DE JANEIRO,RJ
26322,indisponivel,CAMPINAS,SP
15962,indisponivel,RIO DE JANEIRO,RJ
16010,indisponivel,SAPUCAIA DO SUL,RS
26045,indisponivel,SAO PAULO,SP
16445,indisponivel,CAMPINAS,SP
18717,indisponivel,RIO DE JANEIRO,RJ
21176,indisponivel,GAROPABA,SC
21046,indisponivel,LONDRINA,PR
16064,indisponivel,SAO JOSE DOS CAMPOS,SP
16089,indisponivel,RIO DE JANEIRO,RJ
16139,indisponivel,SENADOR CANEDO,GO
25110,indisponivel,JACAREI,SP
20583,indisponivel,INDAIATUBA,SP
16231,indisponivel,SANTOS,SP
16263,indisponivel,BRASILIA,DF
21253,indisponivel,BAURU,SP
27135,indisponivel,LAGES,SC
24956,indisponivel,BELO HORIZONTE,MG
25689,indisponivel,RIO DE JANEIRO,RJ
22533,indisponivel,RIBEIRAO PRETO,SP
25308,indisponivel,SAO PAULO,SP
25742,indisponivel,PEDRO LEOPOLDO,MG
15595,indisponivel,GUARUJA,SP
15738,indisponivel,DIVINOPOLIS,MG
25205,indisponivel,RIO DE JANEIRO,RJ
15620,indisponivel,RONDONOPOLIS,MT
15827,indisponivel,SAO PAULO,SP
16145,indisponivel,SAO PAULO,SP
17585,indisponivel,SAO PAULO,SP
17624,indisponivel,CURITIBA,PR
17637,indisponivel,PIRACICABA,SP
17622,indisponivel,ITAJAI,SC
17656,indisponivel,CAMPINA GRANDE,PB
17838,indisponivel,ARAUCARIA,PR
27713,indisponivel,DOURADOS,MS
20686,indisponivel,SANTA MARIA,RS
27119,indisponivel,BRASILIA,DF
29695,indisponivel,RIBEIRAO DAS NEVES,MG
26053,indisponivel,OSASCO,SP
22888,indisponivel,CURITIBA,PR
28812,indisponivel,BRASILIA,DF
24767,indisponivel,ARARAS,SP
24635,indisponivel,SALTO DO LONTRA,PR
15549,indisponivel,GOIANIA,GO
24887,indisponivel,SALVADOR,BA
24923,indisponivel,EMBU DAS ARTES,SP
15593,indisponivel,VITORIA DA CONQUISTA,BA
15606,indisponivel,JOAO PESSOA,PB
17956,indisponivel,SAO PAULO,SP
17957,indisponivel,BRASILIA,DF
17960,indisponivel,SAO PAULO,SP
26231,indisponivel,RIO DE JANEIRO,RJ
20098,indisponivel,MOSSORO,RN
15662,indisponivel,CANARANA,MT
17555,indisponivel,BRUMADINHO,MG
20783,indisponivel,CENTENARIO DO SUL,PR
27658,indisponivel,CUIABA,MT
18081,indisponivel,RIBEIRAO PRETO,SP
25648,indisponivel,CHAPADA DOS GUIMARAES,MT
18170,indisponivel,SAO LUIS,MA
18192,indisponivel,SAO JOAO DEL REI,MG
18201,indisponivel,MARICA,RJ
18230,indisponivel,CUIABA,MT
18233,indisponivel,INDAIATUBA,SP
18241,indisponivel,MANAUS,AM
18252,indisponivel,SAO PAULO,SP
18275,indisponivel,BRASILIA,DF
18282,indisponivel,SAO CARLOS,SP
18289,indisponivel,SAO PAULO,SP
18319,indisponivel,CUIABA,MT
18348,indisponivel,VITORIA DA CONQUISTA,BA
24302,indisponivel,SUZANO,SP
18604,indisponivel,BRASILIA,DF
15580,indisponivel,NITEROI,RJ
18618,indisponivel,SALVADOR,BA
18642,indisponivel,SAO PAULO,SP
18689,indisponivel,PORTO FELIZ,SP
16034,indisponivel,SAO PAULO,SP
18713,indisponivel,SAO JOAO NEPOMUCENO,MG
18704,indisponivel,RIO DE JANEIRO,RJ
18719,indisponivel,UBERLANDIA,MG
18725,indisponivel,SAO PAULO ,SP
18727,indisponivel,BELO HORIZONTE,MG
18739,indisponivel,RIO DE JANEIRO,RJ
18753,indisponivel,SAO BERNARDO DO CAMPO,SP
18762,indisponivel,BRASILIA,DF
18772,indisponivel,SAO PAULO,SP
18751,indisponivel,NOVA IGUACU,RJ
25470,indisponivel,PORTO FERREIRA,SP
18784,indisponivel,FLORIANOPOLIS,SC
18790,indisponivel,SAO PAULO,SP
18808,indisponivel,BELEM,PA
17649,indisponivel,BRASILIA,DF
24776,indisponivel,RIBEIRAO PRETO,SP
17997,indisponivel,CARUARU,PE
27420,indisponivel,RIBEIRAO PIRES,SP
18757,indisponivel,SAO PAULO,SP
17747,indisponivel,BARRA MANSA,RJ
15562,indisponivel,RIO DE JANEIRO,RJ
28507,indisponivel,UBERLANDIA,MG
21663,indisponivel,RIO DE JANEIRO,RJ
21688,disponivel,FORTALEZA,CE
18990,indisponivel,JUIZ DE FORA,MG
21738,indisponivel,MEDINA,MG
22893,indisponivel,RIO DE JANEIRO,RJ
28222,indisponivel,FRANCO DA ROCHA,SP
22018,indisponivel,RIO DE JANEIRO,RJ
28755,indisponivel,CACHOEIRA DO SUL,RS
23053,disponivel,MACEIO,AL
22178,indisponivel,SAO GONCALO,RJ
27074,indisponivel,SAO PAULO,SP
21508,indisponivel,PORTO ALEGRE,RS
19967,indisponivel,CAJAMAR,SP
22218,indisponivel,BRASILIA,DF
22214,indisponivel,RIO DE JANEIRO,RJ
22502,indisponivel,RIO DE JANEIRO,RJ
22268,indisponivel,CAMPINA GRANDE,PB
17964,indisponivel,IBIRITE,MG
22286,indisponivel,MACEIO,AL
22307,indisponivel,SAO PAULO,SP
25451,indisponivel,SAO PAULO,SP
18362,indisponivel,CANOAS,RS
25854,indisponivel,SAO PAULO,SP
22345,indisponivel,BRASILIA,DF
22348,indisponivel,JUNDIAI,SP
22371,indisponivel,SANTA MARIA,RS
22373,indisponivel,FORTALEZA ,CE
19571,indisponivel,SALVADOR,BA
22388,indisponivel,CAMPINA GRANDE,PB
22411,indisponivel,SAO PAULO,SP
22429,indisponivel,SAO PAULO,SP
22601,indisponivel,RIO DE JANEIRO,RJ
22423,indisponivel,VILA VELHA,ES
22449,indisponivel,RIBEIRAO PRETO,SP
22451,indisponivel,RIO DE JANEIRO,RJ
27503,indisponivel,ARACAJU,SE
18781,indisponivel,CURITIBA,PR
16655,indisponivel,PORTO ALEGRE,RS
22506,indisponivel,SAO PAULO,SP
28971,indisponivel,DOURADOS,MS
22561,indisponivel,BELO HORIZONTE,MG
25843,indisponivel,MAUA,SP
22633,indisponivel,AMERICANA ,SP
22651,indisponivel,BARUERI,SP
22692,indisponivel,ITAJUBA,MG
22757,indisponivel,SAO PAULO,SP
22792,indisponivel,BELO HORIZONTE,MG
22806,indisponivel,RECIFE,PE
24826,indisponivel,SAO PAULO,SP
22864,indisponivel,SAO PAULO,SP
19354,indisponivel,CUIABA,MT
28587,indisponivel,JABOATAO DOS GUARARAPES,PE
18180,indisponivel,SAO PAULO,SP
22911,indisponivel,DUQUE DE CAXIAS,RJ
20052,indisponivel,JUNDIAI,SP
15749,indisponivel,SAO PAULO,SP
27615,indisponivel,POCOS DE CALDAS,MG
21677,indisponivel,SAO JOSE DO RIO PRETO,SP
21673,indisponivel,SAO PAULO,SP
21730,indisponivel,SOROCABA,SP
21726,indisponivel,SAO PAULO,SP
26649,indisponivel,RECIFE,PE
22200,indisponivel,SAO PAULO,SP
18158,indisponivel,CAMPOS DOS GOYTACAZES,RJ
22519,indisponivel,COTIA,SP
22653,indisponivel,RIO DE JANEIRO,RJ
22658,indisponivel,CURITIBA,PR
22929,indisponivel,SAO JOSE DO RIO PRETO,SP
26489,indisponivel,BOTUCATU,SP
19712,indisponivel,CANDEIAS,BA
25962,indisponivel,RIO DE JANEIRO,RJ
14935,indisponivel,CAMPINAS,SP
23092,indisponivel,CURITIBA,PR
23094,indisponivel,SAO PAULO,SP
23124,indisponivel,IGUATU,CE
20264,indisponivel,VOLTA REDONDA,RJ
23149,indisponivel,NITEROI,RJ
23175,indisponivel,CEDRO,PE
23187,indisponivel,ITAPIPOCA,CE
23197,indisponivel,INDAIATUBA,SP
23215,indisponivel,RIO DE JANEIRO,RJ
16129,indisponivel,BELO HORIZONTE,MG
23262,indisponivel,SAO PAULO,SP
23307,indisponivel,RIO DE JANEIRO,RJ
23308,indisponivel,CURITIBA,PR
23315,indisponivel,ITATIBA,SP
29134,indisponivel,VILA PAVAO,ES
29092,indisponivel,SAO PAULO,SP
15641,indisponivel,SANTO ANDRE,SP
23381,indisponivel,RIO DE JANEIRO,RJ
23405,indisponivel,SANTA BARBARA D OESTE,SP
25189,indisponivel,SAO PAULO,SP
23431,indisponivel,SAO PAULO,SP
23441,indisponivel,BELO HORIZONTE,MG
23518,indisponivel,SAO PAULO,SP
23525,indisponivel,CURITIBA,PR
23548,indisponivel,ITAPETINGA,BA
15599,indisponivel,FORTALEZA,CE
23612,indisponivel,ARACATUBA,SP
23623,indisponivel,NATAL,RN
26133,indisponivel,CURITIBA,PR
23652,indisponivel,GUARULHOS ,SP
23660,indisponivel,MAUA,SP
23647,indisponivel,SAO JOSE,SC
23676,indisponivel,RIO DE JANEIRO,RJ
28680,indisponivel,CUIABA,MT
25738,indisponivel,OSASCO,SP
26898,indisponivel,GOIANIA,GO
23707,indisponivel,SAO PAULO,SP
23727,indisponivel,MAGE,RJ
20845,indisponivel,SAO LUIS,MA
23761,indisponivel,NATAL,RN
15714,indisponivel,RIO DE JANEIRO,RJ
15741,indisponivel,TUCURUI,PA
20643,indisponivel,BELEM,PA
28686,indisponivel,SAO PAULO,SP
27998,indisponivel,LAURO DE FREITAS,BA
16570,indisponivel,IPUMIRIM,SC
21035,indisponivel,SAO PAULO,SP
21103,indisponivel,ANTONINA,PR
24081,indisponivel,CURITIBA,PR
28693,indisponivel,PIRASSUNUNGA,SP
17456,indisponivel,GUARULHOS,SP
24116,indisponivel,JOAO PESSOA ,PB
24111,indisponivel,CURITIBA,PR
25530,indisponivel,ARACRUZ,ES
25541,indisponivel,FORTALEZA,CE
25532,indisponivel,SOROCABA,SP
25538,indisponivel,SALVADOR,BA
25546,indisponivel,SALVADOR,BA
25508,indisponivel,RIBEIRAO PRETO,SP
25534,indisponivel,BELO HORIZONTE,MG
23049,indisponivel,RIO DE JANEIRO,RJ
25559,indisponivel,BELO HORIZONTE,MG
29000,indisponivel,SAO PAULO,SP
24218,indisponivel,LAGOA SANTA,MG
17913,indisponivel,MANAUS,AM
24242,indisponivel,CURRAIS NOVOS,RN
21901,indisponivel,IBIPEBA,BA
28698,indisponivel,CASCAVEL,PR
24279,indisponivel,FLORIANOPOLIS,SC
24264,indisponivel,SAO JOSE,SC
24295,indisponivel,SAO VICENTE,SP
24282,indisponivel,LONDRINA,PR
28463,indisponivel,CURITIBA,PR
28490,indisponivel,SAO PAULO,SP
25579,indisponivel,FOZ DO IGUACU,PR
26025,indisponivel,BELEM,PA
23417,indisponivel,FORTALEZA,CE
23658,indisponivel,SANTO ANDRE,SP
29329,indisponivel,CAMPOS DOS GOYTACAZES,RJ
24091,indisponivel,GUARAPUAVA,PR
25533,indisponivel,FRANCA,SP
28512,indisponivel,SAO PAULO,SP
23861,indisponivel,CURITIBA,PR
24233,indisponivel,RIO DE JANEIRO,RJ
21522,indisponivel,CONTAGEM,MG
25359,indisponivel,FEIRA DE SANTANA,BA
24356,indisponivel,APARECIDA DE GOIANIA,GO
24364,indisponivel,NOVA IGUACU,RJ
24408,indisponivel,PORTO ALEGRE,RS
24428,indisponivel,MANAUS,AM
24480,indisponivel,CURITIBA,PR
24486,indisponivel,SAO PAULO,SP
24471,indisponivel,TABOAO DA SERRA,SP
24475,indisponivel,UBATUBA,SP
24527,indisponivel,CRICIUMA,SC
24505,indisponivel,NITEROI,RJ
